"filename", "language", "HTML", "JSON", "Markdown", "PHP", "YAML", "CSS", "JavaScript", "Python", "comment", "blank", "total"
"c:\xampp\htdocs\search_project\json\years.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\search_project\printing_page\assets\css\printing.css", "CSS", 0, 0, 0, 0, 0, 42, 0, 0, 0, 17, 59
"c:\xampp\htdocs\search_project\printing_page\assets\css\style.css", "CSS", 0, 0, 0, 0, 0, 196, 0, 0, 0, 39, 235
"c:\xampp\htdocs\search_project\printing_page\assets\css\table.css", "CSS", 0, 0, 0, 0, 0, 76, 0, 0, 1, 17, 94
"c:\xampp\htdocs\search_project\printing_page\average.php", "PHP", 0, 0, 0, 178, 0, 0, 0, 0, 1, 44, 223
"c:\xampp\htdocs\search_project\printing_page\index.php", "PHP", 0, 0, 0, 433, 0, 0, 0, 0, 0, 83, 516
"c:\xampp\htdocs\search_project\printing_page\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 200, 0, 8, 42, 250
"c:\xampp\htdocs\search_project\printing_page\js\sort.js", "JavaScript", 0, 0, 0, 0, 0, 0, 73, 0, 0, 24, 97
"c:\xampp\htdocs\search_project\printing_page\ratio_figure.php", "PHP", 0, 0, 0, 208, 0, 0, 0, 0, 0, 39, 247
"c:\xampp\htdocs\search_project\printing_page\school_eval.php", "PHP", 0, 0, 0, 165, 0, 0, 0, 0, 4, 30, 199
"c:\xampp\htdocs\search_project\printing_page\school_list.php", "PHP", 0, 0, 0, 202, 0, 0, 0, 0, 1, 42, 245
"c:\xampp\htdocs\search_project\printing_page\year_range_search.php", "PHP", 0, 0, 0, 226, 0, 0, 0, 0, 2, 44, 272
"c:\xampp\htdocs\search_project\search_page\assets\css\style.css", "CSS", 0, 0, 0, 0, 0, 118, 0, 0, 13, 31, 162
"c:\xampp\htdocs\search_project\search_page\assets\css\table.css", "CSS", 0, 0, 0, 0, 0, 86, 0, 0, 1, 21, 108
"c:\xampp\htdocs\search_project\search_page\index.php", "PHP", 0, 0, 0, 105, 0, 0, 0, 0, 1, 26, 132
"c:\xampp\htdocs\search_project\search_page\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 38, 0, 9, 20, 67
"c:\xampp\htdocs\search_project\search_page\livesearch.php", "PHP", 0, 0, 0, 171, 0, 0, 0, 0, 2, 45, 218
"c:\xampp\htdocs\search_project\visualization_page\assets\css\calendar.css", "CSS", 0, 0, 0, 0, 0, 215, 0, 0, 1, 45, 261
"c:\xampp\htdocs\search_project\visualization_page\assets\css\style.css", "CSS", 0, 0, 0, 0, 0, 585, 0, 0, 4, 130, 719
"c:\xampp\htdocs\search_project\visualization_page\group_comparison.php", "PHP", 0, 0, 0, 225, 0, 0, 0, 0, 5, 53, 283
"c:\xampp\htdocs\search_project\visualization_page\index.php", "PHP", 0, 0, 0, 522, 0, 0, 0, 0, 2, 96, 620
"c:\xampp\htdocs\search_project\visualization_page\js\calendar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 86, 0, 5, 35, 126
"c:\xampp\htdocs\search_project\visualization_page\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 182, 0, 0, 57, 239
"c:\xampp\htdocs\search_project\visualization_page\links.php", "PHP", 0, 0, 0, 92, 0, 0, 0, 0, 0, 16, 108
"c:\xampp\htdocs\search_project\visualization_page\ratio_figure.php", "PHP", 0, 0, 0, 151, 0, 0, 0, 0, 0, 35, 186
"c:\xampp\htdocs\search_project\visualization_page\school_comparison.php", "PHP", 0, 0, 0, 188, 0, 0, 0, 0, 0, 35, 223
"c:\xampp\htdocs\search_project\visualization_page\year_range_comparison.php", "PHP", 0, 0, 0, 170, 0, 0, 0, 0, 1, 35, 206
"c:\xampp\htdocs\search_project\visualization_page\year_range_search.php", "PHP", 0, 0, 0, 481, 0, 0, 0, 0, 9, 87, 577
"Total", "-", 14650, 12, 36, 4548, 19, 15304, 1190, 74, 188, 6556, 42577
